Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,9/12/2020,19:00 (20:00),Colorado,,Sporting KC,,Dick's Sporting Goods Park,,,
Sat,9/12/2020,19:00 (21:00),San Jose,,Portland,,Avaya Stadium,,,
Sun,9/13/2020,13:00 (12:00),D.C. United,,Chicago,,Audi Field,,,
Sun,9/13/2020,18:00 (20:00),Vancouver,,Minnesota,,BC Place,,,
Wed,9/16/2020,19:00 (18:00),NYCFC,,Miami,,Yankee Stadium,,,
Wed,9/16/2020,19:00,Nashville,,Colorado,,Nissan Stadium,,,
Wed,9/16/2020,19:30,Houston,,Los Angeles FC,,BBVA Compass Stadium,,,
Wed,9/16/2020,19:30 (21:30),Seattle,,San Jose,,CenturyLink Field,,,
Sat,9/19/2020,15:30 (14:30),Atlanta,,Chicago,,Mercedes-Benz Stadium,,,
Sat,9/19/2020,16:00 (18:00),Vancouver,,Houston,,BC Place,,,
Sat,9/19/2020,19:30 (18:30),Orlando City,,NYCFC,,Exploria Stadium,,,
Sat,9/19/2020,19:30 (18:30),FC Cincinnati,,Philadelphia,,Nippert Stadium,,,
Sat,9/19/2020,19:30 (18:30),Columbus,,NY Red Bulls,,MAPFRE Stadium,,,
Sat,9/19/2020,19:00,Minnesota,,New England,,Allianz Field,,,
Sat,9/19/2020,20:00 (19:00),Miami,,Montreal,,Lockhart Stadium,,,
Sat,9/19/2020,19:30,Sporting KC,,Nashville,,Children's Mercy Park,,,
Sat,9/19/2020,18:00 (20:00),Portland,,Toronto FC,,Providence Park,,,
Sat,9/19/2020,19:00 (21:00),San Jose,,Real Salt Lake,,Avaya Stadium,,,
Sat,9/19/2020,19:30 (21:30),LA Galaxy,,Colorado,,Dignity Health Sports Park,,,
Sun,9/20/2020,16:00,FC Dallas,,Seattle,,Toyota Stadium,,,
Sun,9/20/2020,16:00 (18:00),Los Angeles FC,,D.C. United,,Banc of California Stadium,,,
Sat,9/26/2020,12:30 (14:30),Los Angeles FC,,San Jose,,Banc of California Stadium,,,
Sat,9/26/2020,18:00 (17:00),Atlanta,,Columbus,,Mercedes-Benz Stadium,,,
Sat,9/26/2020,19:00 (18:00),NYCFC,,D.C. United,,Yankee Stadium,,,
Sat,9/26/2020,19:00 (18:00),Toronto FC,,Orlando City,,BMO Field,,,
Sat,9/26/2020,19:30 (18:30),New England,,Miami,,Gillette Stadium,,,
Sat,9/26/2020,19:30 (18:30),FC Cincinnati,,Minnesota,,Nippert Stadium,,,
Sat,9/26/2020,19:00,Nashville,,LA Galaxy,,Nissan Stadium,,,
Sat,9/26/2020,19:00,Chicago,,Montreal,,Soldier Field,,,
Sat,9/26/2020,19:00 (20:00),Colorado,,Seattle,,Dick's Sporting Goods Park,,,
Sat,9/26/2020,20:00,FC Dallas,,Vancouver,,Toyota Stadium,,,
Sat,9/26/2020,19:30 (21:30),Portland,,Real Salt Lake,,Providence Park,,,
Sun,9/27/2020,18:00,Houston,,Sporting KC,,BBVA Compass Stadium,,,
Sun,9/27/2020,20:00 (19:00),Philadelphia,,NY Red Bulls,,Subaru Park,,,
Sun,10/4/2020,13:30 (15:30),Seattle,,Nashville,,CenturyLink Field,,,
Sun,10/4/2020,13:30 (15:30),San Jose,,Colorado,,Avaya Stadium,,,
Sun,10/4/2020,13:30 (15:30),Vancouver,,Portland,,BC Place,,,
Sun,10/4/2020,13:30 (15:30),LA Galaxy,,FC Dallas,,Dignity Health Sports Park,,,
Sun,10/4/2020,14:30 (15:30),Real Salt Lake,,Los Angeles FC,,Rio Tinto Stadium,,,
Sun,10/4/2020,15:30,Minnesota,,Houston,,Allianz Field,,,
Sun,10/4/2020,15:30,Sporting KC,,NYCFC,,Children's Mercy Park,,,
Sun,10/4/2020,16:30 (15:30),NY Red Bulls,,Toronto FC,,Red Bull Arena,,,
Sun,10/4/2020,16:30 (15:30),Philadelphia,,Chicago,,Subaru Park,,,
Sun,10/4/2020,16:30 (15:30),D.C. United,,Atlanta,,Audi Field,,,
Sun,10/4/2020,16:30 (15:30),Montreal,,FC Cincinnati,,Saputo Stadium,,,
Sun,10/4/2020,16:30 (15:30),Orlando City,,New England,,Exploria Stadium,,,
Sun,10/4/2020,16:30 (15:30),Miami,,Columbus,,Lockhart Stadium,,,
